Carrier,Percentage of Delayed Flights
American Airlines Inc.,19.1858011096847
Alaska Airlines Inc.,11.956227436823106
JetBlue Airways,23.413565190301373
Delta Air Lines Inc.,12.889570911171655
ExpressJet Airlines Inc.,17.447845063738697
Frontier Airlines Inc.,22.585969449438085
Spirit Air Lines,23.631864195833543
SkyWest Airlines Inc.,16.013017962411624
United Air Lines Inc.,17.03295191233371
Southwest Airlines Co.,17.746897904026646
Virgin America,22.535842942087065
Hawaiian Airlines Inc.,8.657490005078852
